"AwardCeremony","Best Films","Best Writing","Director","Other","Performance","Top Documentaries","Top Films","Top Independent","Top International","Films.Y","Films.N","Films","Percentage"
"062-1990",0.5,NA,1,NA,0.5,NA,0.4,NA,0,4,13,17,"24%"
"063-1991",0.7,NA,1,1,0.8,NA,0.3,NA,0.2,6,11,17,"35%"
"064-1992",0.3,NA,1,1,0.8,NA,0.5,NA,0,5,12,17,"29%"
"065-1993",0.3,NA,0,NA,0.6,NA,0.5,NA,0,6,11,17,"35%"
"066-1994",0.7,NA,1,NA,0.3,NA,0.5,NA,0.2,9,11,20,"45%"
"067-1995",0.2,NA,1,NA,0.6,NA,0.5,NA,0.2,8,11,19,"42%"
"068-1996",0.2,NA,1,NA,0.8,NA,0.6,NA,0,8,11,19,"42%"
"069-1997",0.3,NA,0.5,NA,0.2,NA,0.7,NA,0,7,13,20,"35%"
"070-1998",0.3,1,1,NA,0.4,NA,0.6,NA,0.2,10,13,23,"43%"
"071-1999",0.2,1,1,NA,0.5,NA,0.6,NA,0.2,8,12,20,"40%"
"072-2000",0.8,0,1,1,0.4,NA,0.6,NA,0.2,9,14,23,"39%"
"073-2001",0.4,1,1,1,0.5,NA,0.7,NA,0.2,13,13,26,"50%"
"074-2002",0.6,0,0.3,NA,0.3,NA,0.5,NA,0.2,9,15,24,"38%"
"075-2003",0.8,1,1,NA,0.9,0.8,0.9,NA,0.2,21,7,28,"75%"
"076-2004",0.8,1,1,1,0.9,0.2,0.9,NA,0.6,20,8,28,"71%"
"077-2005",0.6,1,0.5,NA,0.6,0.6,0.9,NA,0,15,14,29,"52%"
"078-2006",0.8,0.5,1,NA,0.9,0.4,0.9,0.3,0.2,20,17,37,"54%"
"079-2007",0.5,1,1,NA,0.9,0,1,0.2,0.2,16,19,35,"46%"
"080-2008",0.8,1,0.5,NA,1,0,0.7,0.4,0,14,20,34,"41%"
"081-2009",0.8,1,0,0,0.7,0,0.7,0.2,0,13,23,36,"36%"
"082-2010",0.5,0.5,0.5,1,0.5,0,0.7,0,0,8,25,33,"24%"
"083-2011",0.8,1,1,NA,0.8,0,0.9,0.6,0,18,17,35,"51%"
"084-2012",1,1,1,NA,0.7,0,0.9,0.2,0.2,15,19,34,"44%"
"085-2013",0.5,1,0.5,NA,0.6,0,0.7,0.2,0.2,12,23,35,"34%"
"086-2014",0.5,1,1,NA,0.2,0.4,0.8,0.6,0.2,19,15,34,"56%"
"087-2015",0.8,1,0.5,NA,0.8,0,1,0.3,0,15,19,34,"44%"
"088-2016",0.8,1,0.5,NA,0.8,0,0.9,0.2,0.4,16,18,34,"47%"
"089-2017",0.5,1,1,NA,1,0.2,0.9,0.2,0.6,17,17,34,"50%"
"090-2018",1,1,1,NA,1,0.4,1,0.3,0.2,21,15,36,"58%"
"091-2019",0.8,1,0.5,NA,1,0.2,0.8,0.4,0.4,18,17,35,"51%"
"092-2020",0.2,0.5,0,1,0.6,0.2,0.7,0.1,0.4,11,22,33,"33%"
"093-2021",1,1,0.5,1,0.8,1,0.8,0.3,0.8,23,11,34,"68%"
"094-2022",0.8,1,1,1,1,0.4,1,0.5,0.8,24,10,34,"71%"
"Not Seen",143,6,40,1,246,76,500,121,385,NA,NA,NA,NA
"Seen",121,43,71,10,239,24,440,50,66,NA,NA,NA,NA
"Total",264,49,111,11,485,100,940,171,451,697,1256,1953,"36%"
