"Position","Const","Created","Modified","Description","Title","URL","Title.Type","IMDb.Rating","Runtime..mins.","Year","Genres","Num.Votes","Release.Date","Directors"
31,"tt3228774","2021-08-14","2021-08-14",NA,"Cruella","https://www.imdb.com/title/tt3228774/","movie",7.3,134,2021,"Adventure, Comedy, Crime, Drama",239941,"2021-05-18","Craig Gillespie"
32,"tt6458228","2021-08-14","2021-08-14",NA,"Il peccato","https://www.imdb.com/title/tt6458228/","movie",6.8,134,2019,"Biography, Drama, History",1176,"2019-10-27","Andrey Konchalovskiy"
33,"tt0064816","2021-08-14","2021-08-14",NA,"La piscine","https://www.imdb.com/title/tt0064816/","movie",7.1,122,1969,"Crime, Drama, Romance",11199,"1969-01-31","Jacques Deray"
34,"tt8772262","2021-08-14","2021-08-14",NA,"Midsommar","https://www.imdb.com/title/tt8772262/","movie",7.1,148,2019,"Drama, Horror, Mystery, Thriller",338108,"2019-06-24","Ari Aster"
35,"tt10366460","2021-08-17","2021-08-17",NA,"CODA","https://www.imdb.com/title/tt10366460/","movie",8,111,2021,"Comedy, Drama, Music",140329,"2021-01-29","Sian Heder"
36,"tt0112697","2021-08-17","2021-08-17",NA,"Clueless","https://www.imdb.com/title/tt0112697/","movie",6.9,97,1995,"Comedy, Romance",225549,"1995-07-07","Amy Heckerling"
37,"tt0032904","2021-08-17","2021-08-17",NA,"The Philadelphia Story","https://www.imdb.com/title/tt0032904/","movie",7.9,112,1940,"Comedy, Romance",70766,"1940-12-05","George Cukor"
38,"tt0056172","2021-08-17","2021-08-17",NA,"Lawrence of Arabia","https://www.imdb.com/title/tt0056172/","movie",8.3,218,1962,"Adventure, Biography, Drama, War",297777,"1962-12-10","David Lean"
39,"tt0083658","2021-08-17","2021-08-17",NA,"Blade Runner","https://www.imdb.com/title/tt0083658/","movie",8.1,117,1982,"Action, Drama, Sci-Fi, Thriller",779451,"1982-06-25","Ridley Scott"
40,"tt0116282","2021-08-21","2021-08-21",NA,"Fargo","https://www.imdb.com/title/tt0116282/","movie",8.1,98,1996,"Crime, Thriller",686158,"1996-03-08","Ethan Coen, Joel Coen"
41,"tt9526784","2021-08-31","2021-08-31",NA,"Sniegu juz nigdy nie bedzie","https://www.imdb.com/title/tt9526784/","movie",6.5,116,2020,"Comedy, Drama, Mystery",2441,"2020-09-06","Malgorzata Szumowska, Michal Englert"
42,"tt14551164","2021-09-01","2021-09-01",NA,"Can You Bring It: Bill T. Jones and D-Man in the Waters","https://www.imdb.com/title/tt14551164/","movie",8,94,2020,"Documentary",28,"2020-11-21","Rosalynde LeBlanc, Tom Hurwitz"
43,"tt0065531","2021-09-09","2021-09-09",NA,"Le cercle rouge","https://www.imdb.com/title/tt0065531/","movie",7.9,140,1970,"Crime, Drama, Thriller",26237,"1970-10-20","Jean-Pierre Melville"
44,"tt8635092","2021-09-11","2021-09-11",NA,"Everybody's Talking About Jamie","https://www.imdb.com/title/tt8635092/","movie",6.5,115,2021,"Biography, Comedy, Drama, Musical",7155,"2021-05-28","Dan Gillespie Sells, Jonathan Butterell, Tom MacRae"
45,"tt0062622","2021-09-11","2021-09-11",NA,"2001: A Space Odyssey","https://www.imdb.com/title/tt0062622/","movie",8.3,149,1968,"Adventure, Sci-Fi",677184,"1968-04-02","Stanley Kubrick"
46,"tt0088178","2021-09-17","2021-09-17",NA,"Stop Making Sense","https://www.imdb.com/title/tt0088178/","movie",8.6,88,1984,"Documentary, Music",15852,"1984-04-24","Jonathan Demme"
47,"tt9115530","2021-09-17","2021-09-17",NA,"The Eyes of Tammy Faye","https://www.imdb.com/title/tt9115530/","movie",6.6,126,2021,"Biography, Drama, Romance",35362,"2021-09-12","Michael Showalter"
