"TheatreID","SessionID","ScreenTitle","ScreenTrailer","ScreenPoster","ScreenDate","ScreenTimestamp","ScreenTime","ScreenTicketLink","ScreenGenre","ScreenRuntime","ScreenTheatre"
"f-0100000502","36597","CITIZEN KANE","https://www.youtube.com/watch?v=fAcLNMkzfTE","//silver.afi.com/CDN/media/entity/get/FilmPosterGraphic/f-0100000502?width=121&height=180&referenceScheme=Global&allowPlaceHolder=true","Friday, September 01, 2023","2023-09-01T16:45:00","04:45 PM","//silver.afi.com/Ticketing/visSelectTickets.aspx?cinemacode=1001&txtSessionId=36597&visLang=1","Drama","119 Minutes","AFI - AFI Silver 1"
"f-0100000502","36598","CITIZEN KANE","https://www.youtube.com/watch?v=fAcLNMkzfTE","//silver.afi.com/CDN/media/entity/get/FilmPosterGraphic/f-0100000502?width=121&height=180&referenceScheme=Global&allowPlaceHolder=true","Friday, September 01, 2023","2023-09-01T19:10:00","07:10 PM","//silver.afi.com/Ticketing/visSelectTickets.aspx?cinemacode=1001&txtSessionId=36598&visLang=1","Drama","119 Minutes","AFI - AFI Silver 1"
"f-0100000502","36599","CITIZEN KANE","https://www.youtube.com/watch?v=fAcLNMkzfTE","//silver.afi.com/CDN/media/entity/get/FilmPosterGraphic/f-0100000502?width=121&height=180&referenceScheme=Global&allowPlaceHolder=true","Friday, September 01, 2023","2023-09-02T14:30:00","02:30 PM","//silver.afi.com/Ticketing/visSelectTickets.aspx?cinemacode=1001&txtSessionId=36599&visLang=1","Drama","119 Minutes","AFI - AFI Silver 1"
"f-0100000502","36600","CITIZEN KANE","https://www.youtube.com/watch?v=fAcLNMkzfTE","//silver.afi.com/CDN/media/entity/get/FilmPosterGraphic/f-0100000502?width=121&height=180&referenceScheme=Global&allowPlaceHolder=true","Friday, September 01, 2023","2023-09-04T16:00:00","04:00 PM","//silver.afi.com/Ticketing/visSelectTickets.aspx?cinemacode=1001&txtSessionId=36600&visLang=1","Drama","119 Minutes","AFI - AFI Silver 1"
"f-0100000502","36601","CITIZEN KANE","https://www.youtube.com/watch?v=fAcLNMkzfTE","//silver.afi.com/CDN/media/entity/get/FilmPosterGraphic/f-0100000502?width=121&height=180&referenceScheme=Global&allowPlaceHolder=true","Friday, September 01, 2023","2023-09-05T16:15:00","04:15 PM","//silver.afi.com/Ticketing/visSelectTickets.aspx?cinemacode=1001&txtSessionId=36601&visLang=1","Drama","119 Minutes","AFI - AFI Silver 1"
"f-0100000502","36602","CITIZEN KANE","https://www.youtube.com/watch?v=fAcLNMkzfTE","//silver.afi.com/CDN/media/entity/get/FilmPosterGraphic/f-0100000502?width=121&height=180&referenceScheme=Global&allowPlaceHolder=true","Friday, September 01, 2023","2023-09-06T16:00:00","04:00 PM","//silver.afi.com/Ticketing/visSelectTickets.aspx?cinemacode=1001&txtSessionId=36602&visLang=1","Drama","119 Minutes","AFI - AFI Silver 1"
"f-0100000502","36603","CITIZEN KANE","https://www.youtube.com/watch?v=fAcLNMkzfTE","//silver.afi.com/CDN/media/entity/get/FilmPosterGraphic/f-0100000502?width=121&height=180&referenceScheme=Global&allowPlaceHolder=true","Friday, September 01, 2023","2023-09-07T16:15:00","04:15 PM","//silver.afi.com/Ticketing/visSelectTickets.aspx?cinemacode=1001&txtSessionId=36603&visLang=1","Drama","119 Minutes","AFI - AFI Silver 1"
"f-0100004134","37037","CLEOPATRA JONES","https://www.youtube.com/watch?v=lPDNZ6SEcDw","//silver.afi.com/CDN/media/entity/get/FilmPosterGraphic/f-0100004134?width=121&height=180&referenceScheme=Global&allowPlaceHolder=true","Friday, September 15, 2023","2023-09-15T21:30:00","09:30 PM","//silver.afi.com/Ticketing/visSelectTickets.aspx?cinemacode=1001&txtSessionId=37037&visLang=1","Crime thriller","89 Minutes","AFI - AFI Silver 1"
"f-0100004134","37038","CLEOPATRA JONES","https://www.youtube.com/watch?v=lPDNZ6SEcDw","//silver.afi.com/CDN/media/entity/get/FilmPosterGraphic/f-0100004134?width=121&height=180&referenceScheme=Global&allowPlaceHolder=true","Friday, September 15, 2023","2023-09-19T21:25:00","09:25 PM","//silver.afi.com/Ticketing/visSelectTickets.aspx?cinemacode=1001&txtSessionId=37038&visLang=1","Crime thriller","89 Minutes","AFI - AFI Silver 1"
"f-0100000692","37456","Count Gore presents PHANTOM OF THE PARADISE","https://www.youtube.com/watch?v=T9yof8cwli4","//silver.afi.com/CDN/media/entity/get/FilmPosterGraphic/f-0100000692?width=121&height=180&referenceScheme=Global&allowPlaceHolder=true","Saturday, October 28, 2023","2023-10-28T19:00:00","07:00 PM","//silver.afi.com/Ticketing/visSelectTickets.aspx?cinemacode=1001&txtSessionId=37456&visLang=1","Musical fantasy","92 Minutes","AFI - AFI Silver 1"
"f-0100004172","37516","DAUGHTER OF RAGE","https://www.youtube.com/watch?v=e8zowC6prMo","//silver.afi.com/CDN/media/entity/get/FilmPosterGraphic/f-0100004172?width=121&height=180&referenceScheme=Global&allowPlaceHolder=true","Saturday, October 07, 2023","2023-10-07T14:50:00","02:50 PM","//silver.afi.com/Ticketing/visSelectTickets.aspx?cinemacode=1001&txtSessionId=37516&visLang=1","Drama","91 Minutes","AFI - AFI Silver 1"
"f-0100004172","37517","DAUGHTER OF RAGE","https://www.youtube.com/watch?v=e8zowC6prMo","//silver.afi.com/CDN/media/entity/get/FilmPosterGraphic/f-0100004172?width=121&height=180&referenceScheme=Global&allowPlaceHolder=true","Saturday, October 07, 2023","2023-10-11T17:00:00","05:00 PM","//silver.afi.com/Ticketing/visSelectTickets.aspx?cinemacode=1001&txtSessionId=37517&visLang=1","Drama","91 Minutes","AFI - AFI Silver 1"
"f-0100004155","37279","DESPERATE SOULS AND THE LEGEND OF MIDNIGHT COWBOY","https://www.youtube.com/watch?v=agR7IUFkoBc","//silver.afi.com/CDN/media/entity/get/FilmPosterGraphic/f-0100004155?width=121&height=180&referenceScheme=Global&allowPlaceHolder=true","Saturday, September 09, 2023","2023-09-09T16:15:00","04:15 PM","//silver.afi.com/Ticketing/visSelectTickets.aspx?cinemacode=1001&txtSessionId=37279&visLang=1","Documentary","101 Minutes","AFI - AFI Silver 2"
"f-0100004128","37012","DIRTY HARRY","https://www.youtube.com/watch?v=0wN-KnYUaOc","//silver.afi.com/CDN/media/entity/get/FilmPosterGraphic/f-0100004128?width=121&height=180&referenceScheme=Global&allowPlaceHolder=true","Friday, September 08, 2023","2023-09-08T14:15:00","02:15 PM","//silver.afi.com/Ticketing/visSelectTickets.aspx?cinemacode=1001&txtSessionId=37012&visLang=1","Crime thriller","102 Minutes","AFI - AFI Silver 1"
"f-0100004128","37013","DIRTY HARRY","https://www.youtube.com/watch?v=0wN-KnYUaOc","//silver.afi.com/CDN/media/entity/get/FilmPosterGraphic/f-0100004128?width=121&height=180&referenceScheme=Global&allowPlaceHolder=true","Friday, September 08, 2023","2023-09-10T18:00:00","06:00 PM","//silver.afi.com/Ticketing/visSelectTickets.aspx?cinemacode=1001&txtSessionId=37013&visLang=1","Crime thriller","102 Minutes","AFI - AFI Silver 3"
