CeremonyID,AwardCategory,AwardWinner,Film,FilmID,Person,PersonID,AwardType
028-1955,"Best Short Subject, Two-reel",NA,The Battle of Gettysburg,tt0047862,Dore Schary,nm0770196,Short
028-1955,"Best Short Subject, Cartoons",Winner,Speedy Gonzales,tt0048649,Edward Selzer,nm0783666,Short
028-1955,"Best Short Subject, Cartoons",NA,Good Will to Men,tt0048131,Fred Quimby,nm0703642,Short
028-1955,"Best Short Subject, Cartoons",NA,Good Will to Men,tt0048131,Joseph Barbera,nm0053484,Short
028-1955,"Best Short Subject, Cartoons",NA,Good Will to Men,tt0048131,William Hanna,nm0360253,Short
028-1955,"Best Short Subject, Cartoons",NA,No Hunting,tt0048425,Walt Disney,nm0000370,Short
028-1955,"Best Short Subject, Cartoons",NA,The Legend of Rockabye Point,tt0048292,Walter Lantz,nm0487237,Short
028-1955,"Best Documentary, Short Subjects",Winner,Men Against the Arctic,tt0048369,Walt Disney,nm0000370,Short
028-1955,"Best Documentary, Short Subjects",NA,The Battle of Gettysburg,tt0047862,Dore Schary,nm0770196,Short
028-1955,"Best Documentary, Short Subjects",NA,The Face of Lincoln,tt0048049,Wilbur T. Blume,nm0089768,Short
029-1956,Best Picture,Winner,Around the World in 80 Days,tt0048960,Mike Todd,nm0865239,Picture
029-1956,Best Picture,NA,Friendly Persuasion,tt0049233,William Wyler,nm0943758,Picture
029-1956,Best Picture,NA,Giant,tt0049261,George Stevens,nm0828419,Picture
029-1956,Best Picture,NA,Giant,tt0049261,Henry Ginsberg,nm0320102,Picture
029-1956,Best Picture,NA,The King and I,tt0049408,Charles Brackett,nm0102818,Picture
029-1956,Best Picture,NA,The Ten Commandments,tt0049833,Cecil B. DeMille,nm0001124,Picture
029-1956,Best Foreign Language Film,Winner,La Strada,tt0047528,Carlo Ponti,nm0690638,International
029-1956,Best Foreign Language Film,Winner,La Strada,tt0047528,Dino De Laurentiis,nm0209569,International
029-1956,Best Foreign Language Film,NA,Gervaise,tt0049259,Agnès Delahaie,nm0216142,International
029-1956,Best Foreign Language Film,NA,Qivitoq,tt0048523,O. Dalsgaard-Olsen,nm11004642,International
029-1956,Best Foreign Language Film,NA,The Burmese Harp,tt0049012,Masayuki Takagi,nm0847067,International
029-1956,Best Foreign Language Film,NA,The Captain from Köpenick,tt0049293,Gyula Trebitsch,nm0871632,International
029-1956,Best Foreign Language Film,NA,The Captain from Köpenick,tt0049293,Walter Koppel,nm0465904,International
029-1956,"Best Documentary, Features",Winner,The Silent World,tt0049518,Jacques-Yves Cousteau,nm0184150,Documentary
029-1956,"Best Documentary, Features",NA,The Naked Eye,tt0049538,Louis Clyde Stoumen,nm0832845,Documentary
029-1956,"Best Documentary, Features",NA,Where Mountains Float,tt0049349,NA,NA,Documentary
029-1956,Best Director,Winner,Giant,tt0049261,George Stevens,nm0828419,Director
029-1956,Best Director,NA,Around the World in 80 Days,tt0048960,Michael Anderson,nm0027183,Director
029-1956,Best Director,NA,Friendly Persuasion,tt0049233,William Wyler,nm0943758,Director
029-1956,Best Director,NA,The King and I,tt0049408,Walter Lang,nm0485943,Director
029-1956,Best Director,NA,War and Peace,tt0049934,King Vidor,nm0896542,Director
029-1956,"Best Writing, Best Screenplay - Original",Winner,The Red Balloon,tt0048980,Albert Lamorisse,nm0483738,Writing
029-1956,"Best Writing, Best Screenplay - Original",NA,Julie,tt0049388,Andrew L. Stone,nm0831720,Writing
029-1956,"Best Writing, Best Screenplay - Original",NA,La Strada,tt0047528,Federico Fellini,nm0000019,Writing
029-1956,"Best Writing, Best Screenplay - Original",NA,La Strada,tt0047528,Tullio Pinelli,nm0684083,Writing
029-1956,"Best Writing, Best Screenplay - Original",NA,The Bold and the Brave,tt0049022,Robert Lewin,nm0506841,Writing
029-1956,"Best Writing, Best Screenplay - Original",NA,The Ladykillers,tt0048281,William Rose,nm0741740,Writing
029-1956,"Best Writing, Motion Picture Story",Winner,The Brave One,tt0049030,Dalton Trumbo,nm0874308,Writing
029-1956,"Best Writing, Motion Picture Story",NA,High Society,tt0048166,Edward Bernds,nm0076618,Writing
029-1956,"Best Writing, Motion Picture Story",NA,High Society,tt0048166,Elwood Ullman,nm0880493,Writing
029-1956,"Best Writing, Motion Picture Story",NA,The Eddy Duchin Story,tt0049170,Leo Katcher,nm0441197,Writing
029-1956,"Best Writing, Motion Picture Story",NA,The Proud and the Beautiful,tt0046149,Jean-Paul Sartre,nm0765683,Writing
029-1956,"Best Writing, Motion Picture Story",NA,Umberto D.,tt0045274,Cesare Zavattini,nm0953790,Writing
029-1956,"Best Writing, Best Screenplay - Adapted",Winner,Around the World in 80 Days,tt0048960,James Poe,nm0688117,Writing
029-1956,"Best Writing, Best Screenplay - Adapted",Winner,Around the World in 80 Days,tt0048960,John Farrow,nm0268513,Writing
029-1956,"Best Writing, Best Screenplay - Adapted",Winner,Around the World in 80 Days,tt0048960,S.J. Perelman,nm0673279,Writing
029-1956,"Best Writing, Best Screenplay - Adapted",NA,Baby Doll,tt0048973,Tennessee Williams,nm0931783,Writing
029-1956,"Best Writing, Best Screenplay - Adapted",NA,Friendly Persuasion,tt0049233,Michael Wilson,nm0933858,Writing
029-1956,"Best Writing, Best Screenplay - Adapted",NA,Giant,tt0049261,Fred Guiol,nm0347451,Writing
029-1956,"Best Writing, Best Screenplay - Adapted",NA,Giant,tt0049261,Ivan Moffat,nm0595573,Writing
029-1956,"Best Writing, Best Screenplay - Adapted",NA,Lust for Life,tt0049456,Norman Corwin,nm0181658,Writing
029-1956,Best Actress in a Leading Role,Winner,Anastasia,tt0048947,Ingrid Bergman,nm0000006,Performance
029-1956,Best Actress in a Leading Role,NA,Baby Doll,tt0048973,Carroll Baker,nm0004647,Performance
029-1956,Best Actress in a Leading Role,NA,The Bad Seed,tt0048977,Nancy Kelly,nm0446715,Performance
029-1956,Best Actress in a Leading Role,NA,The King and I,tt0049408,Deborah Kerr,nm0000039,Performance
029-1956,Best Actress in a Leading Role,NA,The Rainmaker,tt0049653,Katharine Hepburn,nm0000031,Performance
029-1956,Best Actor in a Leading Role,Winner,The King and I,tt0049408,Yul Brynner,nm0000989,Performance
029-1956,Best Actor in a Leading Role,NA,Giant,tt0049261,James Dean,nm0000015,Performance
029-1956,Best Actor in a Leading Role,NA,Giant,tt0049261,Rock Hudson,nm0001369,Performance
029-1956,Best Actor in a Leading Role,NA,Lust for Life,tt0049456,Kirk Douglas,nm0000018,Performance
029-1956,Best Actor in a Leading Role,NA,Richard III,tt0049674,Laurence Olivier,nm0000059,Performance
029-1956,Best Actress in a Supporting Role,Winner,Written on the Wind,tt0049966,Dorothy Malone,nm0540416,Performance
029-1956,Best Actress in a Supporting Role,NA,Baby Doll,tt0048973,Mildred Dunnock,nm0242972,Performance
029-1956,Best Actress in a Supporting Role,NA,Giant,tt0049261,Mercedes McCambridge,nm0564790,Performance
029-1956,Best Actress in a Supporting Role,NA,The Bad Seed,tt0048977,Eileen Heckart,nm0373012,Performance
029-1956,Best Actress in a Supporting Role,NA,The Bad Seed,tt0048977,Patty McCormack,nm0566478,Performance
029-1956,Best Actor in a Supporting Role,Winner,Lust for Life,tt0049456,Anthony Quinn,nm0000063,Performance
029-1956,Best Actor in a Supporting Role,NA,Bus Stop,tt0049038,Don Murray,nm0614916,Performance
029-1956,Best Actor in a Supporting Role,NA,Friendly Persuasion,tt0049233,Anthony Perkins,nm0000578,Performance
029-1956,Best Actor in a Supporting Role,NA,The Bold and the Brave,tt0049022,Mickey Rooney,nm0001682,Performance
029-1956,Best Actor in a Supporting Role,NA,Written on the Wind,tt0049966,Robert Stack,nm0821041,Performance
029-1956,"Best Cinematography, Black-and-White",Winner,Somebody Up There Likes Me,tt0049778,Joseph Ruttenberg,nm0005853,Visual Style
029-1956,"Best Cinematography, Black-and-White",NA,Baby Doll,tt0048973,Boris Kaufman,nm0442100,Visual Style
029-1956,"Best Cinematography, Black-and-White",NA,Stagecoach to Fury,tt0049791,Walter Strenge,nm0834261,Visual Style
029-1956,"Best Cinematography, Black-and-White",NA,The Bad Seed,tt0048977,Harold Rosson,nm0005849,Visual Style
029-1956,"Best Cinematography, Black-and-White",NA,The Harder They Fall,tt0049291,Burnett Guffey,nm0346532,Visual Style
029-1956,"Best Cinematography, Color",Winner,Around the World in 80 Days,tt0048960,Lionel Lindon,nm0512068,Visual Style
029-1956,"Best Cinematography, Color",NA,The Eddy Duchin Story,tt0049170,Harry Stradling Sr.,nm0005889,Visual Style
029-1956,"Best Cinematography, Color",NA,The King and I,tt0049408,Leon Shamroy,nm0005872,Visual Style
029-1956,"Best Cinematography, Color",NA,The Ten Commandments,tt0049833,Loyal Griggs,nm0005729,Visual Style
029-1956,"Best Cinematography, Color",NA,War and Peace,tt0049934,Jack Cardiff,nm0002153,Visual Style
029-1956,"Best Art Direction-Set Decoration, Black-and-White",Winner,Somebody Up There Likes Me,tt0049778,Cedric Gibbons,nm0316539,Visual Style
029-1956,"Best Art Direction-Set Decoration, Black-and-White",Winner,Somebody Up There Likes Me,tt0049778,Edwin B. Willis,nm0932320,Visual Style
029-1956,"Best Art Direction-Set Decoration, Black-and-White",Winner,Somebody Up There Likes Me,tt0049778,F. Keogh Gleason,nm0322294,Visual Style
029-1956,"Best Art Direction-Set Decoration, Black-and-White",Winner,Somebody Up There Likes Me,tt0049778,Malcolm Brown,nm0114164,Visual Style
029-1956,"Best Art Direction-Set Decoration, Black-and-White",NA,Seven Samurai,tt0047478,Takashi Matsuyama,nm0559688,Visual Style
029-1956,"Best Art Direction-Set Decoration, Black-and-White",NA,Teenage Rebel,tt0049831,Jack Martin Smith,nm0005584,Visual Style
029-1956,"Best Art Direction-Set Decoration, Black-and-White",NA,Teenage Rebel,tt0049831,Lyle R. Wheeler,nm0923907,Visual Style
029-1956,"Best Art Direction-Set Decoration, Black-and-White",NA,Teenage Rebel,tt0049831,Stuart A. Reiss,nm0718524,Visual Style
029-1956,"Best Art Direction-Set Decoration, Black-and-White",NA,Teenage Rebel,tt0049831,Walter M. Scott,nm0779898,Visual Style
029-1956,"Best Art Direction-Set Decoration, Black-and-White",NA,The Proud and Profane,tt0049640,A. Earl Hedrick,nm0373377,Visual Style
029-1956,"Best Art Direction-Set Decoration, Black-and-White",NA,The Proud and Profane,tt0049640,Frank R. McKelvy,nm0571305,Visual Style
029-1956,"Best Art Direction-Set Decoration, Black-and-White",NA,The Proud and Profane,tt0049640,Hal Pereira,nm0673134,Visual Style
029-1956,"Best Art Direction-Set Decoration, Black-and-White",NA,The Proud and Profane,tt0049640,Sam Comer,nm0173754,Visual Style
029-1956,"Best Art Direction-Set Decoration, Black-and-White",NA,The Solid Gold Cadillac,tt0049777,Louis Diage,nm0224448,Visual Style
029-1956,"Best Art Direction-Set Decoration, Black-and-White",NA,The Solid Gold Cadillac,tt0049777,Ross Bellah,nm0068653,Visual Style
029-1956,"Best Art Direction-Set Decoration, Black-and-White",NA,The Solid Gold Cadillac,tt0049777,William Kiernan,nm0452599,Visual Style
029-1956,"Best Art Direction-Set Decoration, Color",Winner,The King and I,tt0049408,John DeCuir,nm0214043,Visual Style
029-1956,"Best Art Direction-Set Decoration, Color",Winner,The King and I,tt0049408,Lyle R. Wheeler,nm0923907,Visual Style
029-1956,"Best Art Direction-Set Decoration, Color",Winner,The King and I,tt0049408,Paul S. Fox,nm0289189,Visual Style
029-1956,"Best Art Direction-Set Decoration, Color",Winner,The King and I,tt0049408,Walter M. Scott,nm0779898,Visual Style
029-1956,"Best Art Direction-Set Decoration, Color",NA,Around the World in 80 Days,tt0048960,James W. Sullivan,nm0838122,Visual Style
029-1956,"Best Art Direction-Set Decoration, Color",NA,Around the World in 80 Days,tt0048960,Ken Adam,nm0010553,Visual Style
029-1956,"Best Art Direction-Set Decoration, Color",NA,Around the World in 80 Days,tt0048960,Ross Dowd,nm0235688,Visual Style
029-1956,"Best Art Direction-Set Decoration, Color",NA,Giant,tt0049261,Boris Leven,nm0505227,Visual Style
029-1956,"Best Art Direction-Set Decoration, Color",NA,Giant,tt0049261,Ralph S. Hurst,nm0403644,Visual Style
029-1956,"Best Art Direction-Set Decoration, Color",NA,Lust for Life,tt0049456,Cedric Gibbons,nm0316539,Visual Style
029-1956,"Best Art Direction-Set Decoration, Color",NA,Lust for Life,tt0049456,E. Preston Ames,nm0024694,Visual Style
029-1956,"Best Art Direction-Set Decoration, Color",NA,Lust for Life,tt0049456,Edwin B. Willis,nm0932320,Visual Style
029-1956,"Best Art Direction-Set Decoration, Color",NA,Lust for Life,tt0049456,F. Keogh Gleason,nm0322294,Visual Style
029-1956,"Best Art Direction-Set Decoration, Color",NA,Lust for Life,tt0049456,Hans Peters,nm0676462,Visual Style
029-1956,"Best Art Direction-Set Decoration, Color",NA,The Ten Commandments,tt0049833,Albert Nozaki,nm0637575,Visual Style
029-1956,"Best Art Direction-Set Decoration, Color",NA,The Ten Commandments,tt0049833,Hal Pereira,nm0673134,Visual Style
029-1956,"Best Art Direction-Set Decoration, Color",NA,The Ten Commandments,tt0049833,Ray Moyer,nm0610455,Visual Style
029-1956,"Best Art Direction-Set Decoration, Color",NA,The Ten Commandments,tt0049833,Sam Comer,nm0173754,Visual Style
029-1956,"Best Art Direction-Set Decoration, Color",NA,The Ten Commandments,tt0049833,Walter H. Tyler,nm0878934,Visual Style
029-1956,"Best Costume Design, Black-and-White",Winner,The Solid Gold Cadillac,tt0049777,Jean Louis,nm0521872,Visual Style
029-1956,"Best Costume Design, Black-and-White",NA,Seven Samurai,tt0047478,Kôhei Ezaki,nm0264297,Visual Style
029-1956,"Best Costume Design, Black-and-White",NA,Teenage Rebel,tt0049831,Charles Le Maire,nm0494406,Visual Style
029-1956,"Best Costume Design, Black-and-White",NA,Teenage Rebel,tt0049831,Mary Wills,nm0932683,Visual Style
029-1956,"Best Costume Design, Black-and-White",NA,The Power and the Prize,tt0049635,Helen Rose,nm0741423,Visual Style
029-1956,"Best Costume Design, Black-and-White",NA,The Proud and Profane,tt0049640,Edith Head,nm0372128,Visual Style
029-1956,"Best Costume Design, Color",Winner,The King and I,tt0049408,Irene Sharaff,nm0788695,Visual Style
029-1956,"Best Costume Design, Color",NA,Around the World in 80 Days,tt0048960,Miles White,nm0925240,Visual Style
029-1956,"Best Costume Design, Color",NA,Giant,tt0049261,Marjorie Best,nm0078968,Visual Style
029-1956,"Best Costume Design, Color",NA,Giant,tt0049261,Moss Mabry,nm0531117,Visual Style
029-1956,"Best Costume Design, Color",NA,The Ten Commandments,tt0049833,Arnold Friberg,nm0294729,Visual Style
029-1956,"Best Costume Design, Color",NA,The Ten Commandments,tt0049833,Dorothy Jeakins,nm0419820,Visual Style
029-1956,"Best Costume Design, Color",NA,The Ten Commandments,tt0049833,Edith Head,nm0372128,Visual Style
029-1956,"Best Costume Design, Color",NA,The Ten Commandments,tt0049833,John Jensen,nm0421522,Visual Style
029-1956,"Best Costume Design, Color",NA,The Ten Commandments,tt0049833,Ralph Jester,nm0422286,Visual Style
029-1956,"Best Costume Design, Color",NA,War and Peace,tt0049934,Maria De Matteis,nm0210189,Visual Style
029-1956,"Best Music, Scoring of a Dramatic or Comedy Picture",Winner,Around the World in 80 Days,tt0048960,Victor Young,nm0000082,Music
029-1956,"Best Music, Scoring of a Dramatic or Comedy Picture",NA,Anastasia,tt0048947,Alfred Newman,nm0000055,Music
029-1956,"Best Music, Scoring of a Dramatic or Comedy Picture",NA,Between Heaven and Hell,tt0049004,Hugo Friedhofer,nm0006087,Music
029-1956,"Best Music, Scoring of a Dramatic or Comedy Picture",NA,Giant,tt0049261,Dimitri Tiomkin,nm0006323,Music
029-1956,"Best Music, Scoring of a Dramatic or Comedy Picture",NA,The Rainmaker,tt0049653,Alex North,nm0006218,Music
029-1956,"Best Music, Scoring of a Musical Picture",Winner,The King and I,tt0049408,Alfred Newman,nm0000055,Music
029-1956,"Best Music, Scoring of a Musical Picture",Winner,The King and I,tt0049408,Ken Darby,nm0006024,Music
029-1956,"Best Music, Scoring of a Musical Picture",NA,High Society,tt0049314,Johnny Green,nm0338004,Music
029-1956,"Best Music, Scoring of a Musical Picture",NA,High Society,tt0049314,Saul Chaplin,nm0006000,Music
029-1956,"Best Music, Scoring of a Musical Picture",NA,Meet Me in Las Vegas,tt0049490,George Stoll,nm0006303,Music
029-1956,"Best Music, Scoring of a Musical Picture",NA,Meet Me in Las Vegas,tt0049490,Johnny Green,nm0338004,Music
029-1956,"Best Music, Scoring of a Musical Picture",NA,The Best Things in Life Are Free,tt0049002,Lionel Newman,nm0006213,Music
029-1956,"Best Music, Scoring of a Musical Picture",NA,The Eddy Duchin Story,tt0049170,George Duning,nm0006052,Music
029-1956,"Best Music, Scoring of a Musical Picture",NA,The Eddy Duchin Story,tt0049170,Morris Stoloff,nm0006304,Music
029-1956,"Best Music, Original Song",Winner,The Man Who Knew Too Much,tt0049470,Jay Livingston,nm0515254,Music
029-1956,"Best Music, Original Song",Winner,The Man Who Knew Too Much,tt0049470,Ray Evans,nm0263143,Music
029-1956,"Best Music, Original Song",NA,Friendly Persuasion,tt0049233,Dimitri Tiomkin,nm0006323,Music
029-1956,"Best Music, Original Song",NA,Friendly Persuasion,tt0049233,Paul Francis Webster,nm0916990,Music
029-1956,"Best Music, Original Song",NA,High Society,tt0049314,Cole Porter,nm0006234,Music
029-1956,"Best Music, Original Song",NA,Julie,tt0049388,Leith Stevens,nm0006302,Music
029-1956,"Best Music, Original Song",NA,Julie,tt0049388,Tom Adair,nm0010480,Music
029-1956,"Best Music, Original Song",NA,Written on the Wind,tt0049966,Sammy Cahn,nm0005991,Music
029-1956,"Best Music, Original Song",NA,Written on the Wind,tt0049966,Victor Young,nm0000082,Music
029-1956,"Best Sound, Recording",Winner,The King and I,tt0049408,Carlton W. Faulkner,nm0269055,Effects
029-1956,"Best Sound, Recording",NA,Friendly Persuasion,tt0049233,Gordon R. Glennan,nm0322678,Effects
029-1956,"Best Sound, Recording",NA,Friendly Persuasion,tt0049233,Gordon Sawyer,nm0768167,Effects
029-1956,"Best Sound, Recording",NA,The Brave One,tt0049030,Buddy Myers,nm0583044,Effects
029-1956,"Best Sound, Recording",NA,The Eddy Duchin Story,tt0049170,John P. Livadary,nm0515093,Effects
029-1956,"Best Sound, Recording",NA,The Ten Commandments,tt0049833,Loren L. Ryder,nm0753122,Effects
029-1956,Best Film Editing,Winner,Around the World in 80 Days,tt0048960,Gene Ruggiero,nm0737314,Effects
029-1956,Best Film Editing,Winner,Around the World in 80 Days,tt0048960,Paul Weatherwax,nm0915800,Effects
029-1956,Best Film Editing,NA,Giant,tt0049261,Fred Bohanan,nm0091980,Effects
029-1956,Best Film Editing,NA,Giant,tt0049261,Philip W. Anderson,nm0027294,Effects
029-1956,Best Film Editing,NA,Giant,tt0049261,William Hornbeck,nm0394962,Effects
029-1956,Best Film Editing,NA,Somebody Up There Likes Me,tt0049778,Albert Akst,nm0015573,Effects
029-1956,Best Film Editing,NA,The Brave One,tt0049030,Merrill G. White,nm0925212,Effects
029-1956,Best Film Editing,NA,The Ten Commandments,tt0049833,Anne Bauchens,nm0061640,Effects
029-1956,"Best Effects, Special Effects",Winner,The Ten Commandments,tt0049833,John P. Fulton,nm0298483,Effects
029-1956,"Best Effects, Special Effects",NA,Forbidden Planet,tt0049223,A. Arnold Gillespie,nm0318901,Effects
029-1956,"Best Effects, Special Effects",NA,Forbidden Planet,tt0049223,Irving G. Ries,nm0726330,Effects
029-1956,"Best Effects, Special Effects",NA,Forbidden Planet,tt0049223,Wesley C. Miller,nm0589506,Effects
029-1956,"Best Short Subject, One-reel",Winner,Crashing the Water Barrier,tt0049102,Konstantin Kalser,nm0435180,Short
029-1956,"Best Short Subject, One-reel",NA,I Never Forget a Face,tt0049352,Robert Youngson,nm0950288,Short
029-1956,"Best Short Subject, One-reel",NA,Time Stood Still,tt0049855,Cedric Francis,nm0290103,Short
029-1956,"Best Short Subject, Two-reel",Winner,The Bespoke Overcoat,tt0049000,George K. Arthur,nm0037761,Short
029-1956,"Best Short Subject, Two-reel",NA,Cow Dog,tt0049099,Larry Lansburgh,nm0487047,Short
029-1956,"Best Short Subject, Two-reel",NA,Samoa,tt0049709,Walt Disney,nm0000370,Short
029-1956,"Best Short Subject, Two-reel",NA,The Dark Wave,tt0049124,John Healy,nm0372336,Short
029-1956,"Best Short Subject, Cartoons",Winner,Magoo's Puddle Jumper,tt0049510,Stephen Bosustow,nm0098322,Short
029-1956,"Best Short Subject, Cartoons",NA,Gerald McBoing! Boing! on Planet Moo,tt0049258,Stephen Bosustow,nm0098322,Short
029-1956,"Best Short Subject, Cartoons",NA,The Jaywalker,tt0049380,Stephen Bosustow,nm0098322,Short
029-1956,"Best Documentary, Short Subjects",Winner,The True Story of the Civil War,tt0049885,Louis Clyde Stoumen,nm0832845,Short
029-1956,"Best Documentary, Short Subjects",NA,A City Decides,tt0049081,NA,NA,Short
029-1956,"Best Documentary, Short Subjects",NA,The Dark Wave,tt0049124,John Healy,nm0372336,Short
029-1956,"Best Documentary, Short Subjects",NA,The House Without a Name,tt0049338,Valentine Davies,nm0204016,Short
029-1956,"Best Documentary, Short Subjects",NA,The Magical World of Disney,tt0046593,Ward Kimball,nm0453832,Short
030-1957,Best Picture,Winner,The Bridge on the River Kwai,tt0050212,Sam Spiegel,nm0818545,Picture
030-1957,Best Picture,NA,12 Angry Men,tt0050083,Henry Fonda,nm0000020,Picture
030-1957,Best Picture,NA,12 Angry Men,tt0050083,Reginald Rose,nm0741627,Picture
030-1957,Best Picture,NA,Peyton Place,tt0050839,Jerry Wald,nm0907003,Picture
030-1957,Best Picture,NA,Sayonara,tt0050933,William Goetz,nm0324544,Picture
030-1957,Best Picture,NA,Witness for the Prosecution,tt0051201,Arthur Hornblow Jr.,nm0394967,Picture
030-1957,Best Foreign Language Film,Winner,Nights of Cabiria,tt0050783,NA,NA,International
030-1957,Best Foreign Language Film,NA,Mother India,tt0050188,NA,NA,International
030-1957,Best Foreign Language Film,NA,Nine Lives,tt0050762,NA,NA,International
030-1957,Best Foreign Language Film,NA,The Devil Strikes at Night,tt0050746,NA,NA,International
030-1957,Best Foreign Language Film,NA,The Gates of Paris,tt0050850,NA,NA,International
030-1957,"Best Documentary, Features",Winner,Albert Schweitzer,tt0050109,Jerome Hill,nm0384377,Documentary
030-1957,"Best Documentary, Features",NA,On the Bowery,tt0050800,Lionel Rogosin,nm0737369,Documentary
030-1957,"Best Documentary, Features",NA,Torero,tt0051099,Manuel Barbachano Ponce,nm0053168,Documentary
030-1957,Best Director,Winner,The Bridge on the River Kwai,tt0050212,David Lean,nm0000180,Director
030-1957,Best Director,NA,12 Angry Men,tt0050083,Sidney Lumet,nm0001486,Director
030-1957,Best Director,NA,Peyton Place,tt0050839,Mark Robson,nm0733476,Director
030-1957,Best Director,NA,Sayonara,tt0050933,Joshua Logan,nm0517597,Director
030-1957,Best Director,NA,Witness for the Prosecution,tt0051201,Billy Wilder,nm0000697,Director
030-1957,"Best Writing, Story and Screenplay - Written Directly for the Screen",Winner,Designing Woman,tt0050306,George Wells,nm0920216,Writing
030-1957,"Best Writing, Story and Screenplay - Written Directly for the Screen",NA,Funny Face,tt0050419,Leonard Gershe,nm0314826,Writing
030-1957,"Best Writing, Story and Screenplay - Written Directly for the Screen",NA,I Vitelloni,tt0046521,Ennio Flaiano,nm0280919,Writing
030-1957,"Best Writing, Story and Screenplay - Written Directly for the Screen",NA,I Vitelloni,tt0046521,Federico Fellini,nm0000019,Writing
030-1957,"Best Writing, Story and Screenplay - Written Directly for the Screen",NA,I Vitelloni,tt0046521,Tullio Pinelli,nm0684083,Writing
030-1957,"Best Writing, Story and Screenplay - Written Directly for the Screen",NA,Man of a Thousand Faces,tt0050681,Ben Roberts,nm0730850,Writing
030-1957,"Best Writing, Story and Screenplay - Written Directly for the Screen",NA,Man of a Thousand Faces,tt0050681,Ivan Goff,nm0324578,Writing
030-1957,"Best Writing, Story and Screenplay - Written Directly for the Screen",NA,Man of a Thousand Faces,tt0050681,R. Wright Campbell,nm0132790,Writing
030-1957,"Best Writing, Story and Screenplay - Written Directly for the Screen",NA,Man of a Thousand Faces,tt0050681,Ralph Wheelwright,nm0924000,Writing
030-1957,"Best Writing, Story and Screenplay - Written Directly for the Screen",NA,The Tin Star,tt0051087,Barney Slater,nm0805340,Writing
030-1957,"Best Writing, Story and Screenplay - Written Directly for the Screen",NA,The Tin Star,tt0051087,Dudley Nichols,nm0629580,Writing
030-1957,"Best Writing, Story and Screenplay - Written Directly for the Screen",NA,The Tin Star,tt0051087,Joel Kane,nm0437352,Writing
030-1957,"Best Writing, Screenplay Based on Material from Another Medium",Winner,The Bridge on the River Kwai,tt0050212,Carl Foreman,nm0286025,Writing
030-1957,"Best Writing, Screenplay Based on Material from Another Medium",Winner,The Bridge on the River Kwai,tt0050212,Michael Wilson,nm0933858,Writing
030-1957,"Best Writing, Screenplay Based on Material from Another Medium",Winner,The Bridge on the River Kwai,tt0050212,Pierre Boulle,nm0099541,Writing
030-1957,"Best Writing, Screenplay Based on Material from Another Medium",NA,12 Angry Men,tt0050083,Reginald Rose,nm0741627,Writing
030-1957,"Best Writing, Screenplay Based on Material from Another Medium",NA,"Heaven Knows, Mr. Allison",tt0050490,John Huston,nm0001379,Writing
030-1957,"Best Writing, Screenplay Based on Material from Another Medium",NA,"Heaven Knows, Mr. Allison",tt0050490,John Lee Mahin,nm0536941,Writing
030-1957,"Best Writing, Screenplay Based on Material from Another Medium",NA,Peyton Place,tt0050839,John Michael Hayes,nm0371088,Writing
030-1957,"Best Writing, Screenplay Based on Material from Another Medium",NA,Sayonara,tt0050933,Paul Osborn,nm0651585,Writing
030-1957,Best Actress in a Leading Role,Winner,The Three Faces of Eve,tt0051077,Joanne Woodward,nm0940946,Performance
030-1957,Best Actress in a Leading Role,NA,"Heaven Knows, Mr. Allison",tt0050490,Deborah Kerr,nm0000039,Performance
030-1957,Best Actress in a Leading Role,NA,Peyton Place,tt0050839,Lana Turner,nm0001805,Performance
030-1957,Best Actress in a Leading Role,NA,Raintree County,tt0050882,Elizabeth Taylor,nm0000072,Performance
030-1957,Best Actress in a Leading Role,NA,Wild Is the Wind,tt0051193,Anna Magnani,nm0536167,Performance
030-1957,Best Actor in a Leading Role,Winner,The Bridge on the River Kwai,tt0050212,Alec Guinness,nm0000027,Performance
030-1957,Best Actor in a Leading Role,NA,A Hatful of Rain,tt0050487,Anthony Franciosa,nm0290047,Performance
030-1957,Best Actor in a Leading Role,NA,Sayonara,tt0050933,Marlon Brando,nm0000008,Performance
030-1957,Best Actor in a Leading Role,NA,Wild Is the Wind,tt0051193,Anthony Quinn,nm0000063,Performance
030-1957,Best Actor in a Leading Role,NA,Witness for the Prosecution,tt0051201,Charles Laughton,nm0001452,Performance
030-1957,Best Actress in a Supporting Role,Winner,Sayonara,tt0050933,Miyoshi Umeki,nm0880855,Performance
030-1957,Best Actress in a Supporting Role,NA,Peyton Place,tt0050839,Diane Varsi,nm0890215,Performance
030-1957,Best Actress in a Supporting Role,NA,Peyton Place,tt0050839,Hope Lange,nm0486136,Performance
030-1957,Best Actress in a Supporting Role,NA,The Bachelor Party,tt0050156,Carolyn Jones,nm0427700,Performance
030-1957,Best Actress in a Supporting Role,NA,Witness for the Prosecution,tt0051201,Elsa Lanchester,nm0006471,Performance
030-1957,Best Actor in a Supporting Role,Winner,Sayonara,tt0050933,Red Buttons,nm0000999,Performance
030-1957,Best Actor in a Supporting Role,NA,A Farewell to Arms,tt0050379,Vittorio De Sica,nm0001120,Performance
030-1957,Best Actor in a Supporting Role,NA,Peyton Place,tt0050839,Arthur Kennedy,nm0447913,Performance
030-1957,Best Actor in a Supporting Role,NA,Peyton Place,tt0050839,Russ Tamblyn,nm0848560,Performance
