"AwardCeremony","Animated","Director","Documentary","Effects","International","Music","Performance","Picture","Short","Visual Style","Writing","Films.Y","Films.N","Films","Percentage"
"81-2009",1,1,0.2,0.9,0.4,0.8,0.7,1,0.3,0.6,0.8,23,27,50,"46%"
"82-2010",1,1,0.2,1,0,0.8,0.7,1,0.7,0.7,0.8,36,22,58,"62%"
"83-2011",1,1,0.4,0.9,0,0.9,0.8,1,0.1,0.6,0.9,24,32,56,"43%"
"84-2012",1,1,0,1,0.2,0.9,0.9,1,0.4,0.8,1,38,23,61,"62%"
"85-2013",1,1,0.4,1,0.4,0.8,0.9,1,0.3,0.8,1,33,20,53,"62%"
"86-2014",1,1,0,0.8,0.4,0.7,1,1,0.3,0.8,1,31,27,58,"53%"
"87-2015",1,1,0.4,0.9,0.2,0.6,1,1,0.3,0.8,1,37,23,60,"62%"
"88-2016",1,1,0.2,1,0.6,0.7,1,1,0.2,0.9,1,35,22,57,"61%"
"89-2017",1,1,0,0.8,1,0.9,0.9,1,0.3,1,1,43,19,62,"69%"
"90-2018",1,1,0.4,0.9,1,0.9,1,1,0.6,0.9,1,47,12,59,"80%"
"91-2019",1,1,0.4,1,1,1,0.9,1,0.4,0.9,1,38,14,52,"73%"
"92-2020",1,1,1,1,1,0.8,0.9,1,0.6,1,1,45,8,53,"85%"
"93-2021",1,1,0.8,0.8,1,0.7,1,1,1,0.8,1,49,7,56,"88%"
"94-2022",1,1,1,1,1,1,1,1,1,1,1,53,0,53,"100%"
"95-2023",1,1,1,1,1,0.9,1,1,1,1,1,53,1,54,"98%"
"Not Seen",0,136,309,401,245,645,541,151,701,638,405,NA,NA,NA,NA
"Seen",94,347,73,545,90,487,667,443,529,553,588,NA,NA,NA,NA
"Total",94,483,382,946,335,1132,1208,594,1230,1191,993,2072,3001,5073,"41%"
