"AwardCeremony","Actor, Lead","Actor, Supporting","Actress, Lead","Actress, Supporting","Animated","Art Direction","Cinematography","Costume","Director","Director, Assistant","Documentary","Film Editing","International","Makeup","Picture","Score","Short, Animated","Short, Documentary","Short, Live Action","Song","Sound","Visual Effects","Writing","<NA>"
"32-1960",0.6,0.5,0.2,0.2,NA,0.4,0.3,0.2,0.4,NA,0,0.6,0,NA,0.4,0.3,0,0.3,0,0,0.2,0.5,0.7,NA
"33-1961",0.4,0.4,0.4,0.2,NA,0.3,0.5,0.1,0.4,NA,0,0.6,0,NA,0.2,0.1,0.2,0.2,0.2,0,0.2,0,0.2,NA
"34-1962",0.2,0.5,0.6,0.2,NA,0.4,0.2,0.3,0.6,NA,0,0.4,0,NA,0.4,0.2,0,0,0,0.2,0.4,0,0.5,NA
"35-1963",0.6,0.4,0.2,0.2,NA,0.4,0.3,0.2,0.6,NA,0,0.4,0,NA,0.6,0.3,0.2,0,0,0,0.6,0,0.4,NA
"36-1964",0.8,0.4,0.2,0.7,NA,0.3,0.4,0.1,0.4,NA,0,0.4,0,NA,0.6,0.5,0,0,0,0.4,0.5,1,0.3,NA
"37-1965",0.5,0.4,0.2,0.2,NA,0.3,0.3,0.2,0.6,NA,0,0.4,0.2,NA,0.6,0.3,0.5,0.2,0,0.2,0.4,0.5,0.4,NA
"38-1966",0.4,0.4,0.6,0.8,NA,0.6,0.4,0.4,0.4,NA,0,0.4,0.2,NA,0.6,0.4,0,0,0,0.2,0.3,0.5,0.4,NA
"39-1967",0.2,0.2,0,0.2,NA,0,0.1,0.1,0.4,NA,0,0,0,NA,0.2,0,0.3,0,0,0,0,0,0.2,NA
"40-1968",1,0.8,0.8,1,NA,0.6,0.8,0.4,1,NA,0,0.6,0,NA,1,0.6,0.3,0,0.2,0.8,0.6,0.5,0.7,NA
"41-1969",0,0.2,0.2,0.4,NA,0.2,0.2,0.2,0.2,NA,0,0.4,0,NA,0.2,0.3,0,0,0,0.6,0.4,0.5,0.3,NA
"42-1970",0.5,0.2,0.2,0.4,NA,0.2,0.2,0.2,0.8,NA,0,0.6,0.2,NA,0.6,0.3,0,0,0,0.2,0.2,0,0.4,NA
"43-1971",0.2,0.4,0.2,0,NA,0,0,0,0.2,NA,0,0,0,NA,0.2,0.2,0,0,0,0.2,0,0,0.2,NA
"44-1972",0.2,0.2,0.2,0.5,NA,0.4,0.2,0.2,0.6,NA,0,0.4,0,NA,0.4,0.2,0,0.2,0,0.2,0.2,0.5,0.3,NA
"45-1973",0.8,0.7,0.4,0.2,NA,0.4,0.4,0.4,0.6,NA,0,0.4,0.2,NA,0.4,0.4,0,0,0,0,0.6,NA,0.4,NA
"46-1974",0.2,0.4,0.4,0.8,NA,0.4,0.4,0.2,0.4,NA,0,0.4,0,NA,0.4,0.1,0,0,0,0.6,0.4,NA,0.4,NA
"47-1975",0.6,0.3,0.4,0.6,NA,0.4,0.4,0.8,0.4,NA,0,0.2,0.2,NA,0.6,0.5,0,0,0,0,0.6,NA,0.6,NA
"48-1976",0.2,0.2,0,0,NA,0.2,0.4,0.4,0.6,NA,0,0.6,0,NA,0.6,0.4,0,0,0,0.2,0.4,NA,0.3,NA
"49-1977",0.8,1,0.6,0.8,NA,0.4,0.6,0,0.6,NA,0,0.6,0,NA,0.8,0.4,0,0,0,0.6,0.6,NA,0.3,NA
"50-1978",0.2,0.2,0,0.2,NA,0.6,0.2,0.2,0.4,NA,0,0.4,0,NA,0.2,0.5,0,0,0,0.6,0.4,1,0.1,NA
"51-1979",0.6,0.4,0.2,0.4,NA,0.4,0.6,0.2,0.4,NA,0,0.6,0,NA,0.4,0.5,0,0,0,0.4,0.4,NA,0.3,NA
"52-1980",0.4,0.6,0,0.2,NA,0.8,0.4,0.2,0.6,NA,0,0.6,0,NA,0.6,0.6,0,0,0,0.4,0.2,0.6,0.3,NA
"53-1981",0,0.2,0.2,0,NA,0.2,0,0,0.2,NA,0,0.2,0,NA,0.2,0.4,0,0,0,0.5,0.4,NA,0.2,NA
"54-1982",0.4,0.4,0.2,0.2,NA,0.2,0.4,0.2,0.6,NA,0,0.6,0,0.5,0.6,0.6,0,0,0,0.6,0.4,0.5,0.3,NA
"55-1983",0.4,0.4,0.4,0.2,NA,0.8,0.4,0.6,0.4,NA,0,0.6,0,0.5,0.4,0.8,0.3,0,0,0.4,0.7,1,0.4,NA
"56-1984",0,0.5,0.2,0.2,NA,0.8,0.8,0.2,0.4,NA,0,0.6,0.2,NA,0.6,0.5,0.3,0,0,0.3,0.8,NA,0.4,NA
"57-1985",0.5,0.2,0,0.2,NA,0.6,0.4,0.4,0.2,NA,0,0.4,0,0.7,0.2,0.6,0,0,0,0.5,0.6,1,0.3,NA
"58-1986",0.4,0.2,0.2,0,NA,0.6,0.4,0.2,0.6,NA,0,0.4,0,0.3,0.6,0.4,0,0,0,0.5,0.3,0.3,0.6,NA
"59-1987",0.2,0.2,0.4,0.2,NA,0.4,0.6,0.2,0.4,NA,0,0.6,0,0.3,0.2,0.4,0,0,0,0.8,0.8,0.7,0.4,NA
"60-1988",0.2,0.4,0.2,0.2,NA,0.4,0.2,0.4,0.4,NA,0,0.4,0,0,0.4,0.6,0,0,0,0.6,0.8,0,0.3,NA
"61-1989",0.4,0.2,0.4,0.5,NA,0.6,0.6,0.4,0.6,NA,0,0.6,0,1,0.6,0.4,0.3,0,0,0.3,0.3,0.7,0.5,NA
"62-1990",0.6,0.4,0.2,0.2,NA,0.6,0.2,0.2,0.4,NA,0,0.2,0.2,0.3,0.8,0.6,0,0,0,0.2,0.5,0.7,0.6,NA
"63-1991",0.4,0.6,0.4,0.8,NA,0.4,0.4,0.2,0.8,NA,0,1,0,0.3,1,0.6,0,0,0.2,0.4,0.5,NA,0.5,NA
"64-1992",0.6,0.5,0.8,0.6,NA,0.4,0.6,0.4,0.6,NA,0,0.8,0,1,0.6,0.6,0.3,0,0,0.7,1,1,0.5,NA
"65-1993",0.4,0.4,0,0.2,NA,0,0.2,0,0.4,NA,0,0.6,0,0.3,0.6,0.6,0.4,0,0,0.7,0.7,1,0.3,NA
"66-1994",0.4,0.6,0,0,NA,0.4,0.6,0.2,0.2,NA,0,0.4,0,1,0.4,0.4,0.2,0,0,0.8,0.6,0.7,0.4,NA
"67-1995",0.6,0.4,0.2,0.2,NA,0.6,0.8,0.2,0.6,NA,0,0.6,0.2,0.3,0.8,1,0,0,0,0.3,0.6,0.7,0.5,NA
"68-1996",0.4,0.8,0.2,0.4,NA,0.4,0.6,0.6,0.6,NA,0.2,0.8,0,0.3,1,0.8,0.2,0,0,0.6,0.8,1,0.7,NA
"69-1997",0.6,0.8,0.6,0.8,NA,0.8,0.8,0.4,0.8,NA,0,1,0,0.7,1,0.7,0,0,0,1,0.9,1,0.6,NA
"70-1998",0.4,1,0.4,0.8,NA,0.8,0.6,0.4,0.8,NA,0,1,0,0.7,1,0.9,0.2,0,0,1,0.9,1,0.5,NA
"71-1999",1,0.6,0.4,0.4,NA,1,0.8,0.6,1,NA,0,1,0.2,1,1,1,0,0,0,0.6,1,1,0.7,NA
"72-2000",0.4,0.8,0.4,0.8,NA,1,0.8,0.8,1,NA,0,1,0,0.8,1,0.6,0.2,0,0,0.6,1,1,0.9,NA
"73-2001",0.6,0.6,0.6,1,NA,0.6,0.6,0.8,1,NA,0,1,0.2,0.7,1,0.6,0,0,0,0.6,0.3,0.3,0.9,NA
"74-2002",0.6,0.4,0.6,0.8,0.7,1,0.8,0.8,1,NA,0,1,0.2,1,1,1,0.4,0,0,1,1,1,0.9,NA
"75-2003",0.8,1,0.6,1,0.8,0.8,0.8,0.8,0.8,NA,0.4,1,0,0,1,0.6,0,0,0,0.6,1,1,0.7,NA
"76-2004",1,0.8,0.6,1,0.7,1,1,1,1,NA,0.4,1,0,1,1,1,0,0,0,1,1,1,0.8,NA
"77-2005",0.8,1,0.6,1,0.7,1,1,0.6,0.6,NA,0.2,0.8,0.2,1,0.8,1,0.2,0,0,0.8,0.8,1,0.9,NA
"78-2006",0.8,0.8,0.8,0.8,0.7,0.8,0.8,0.8,1,NA,0.4,1,0,1,1,1,0.2,0,0.2,0.7,0.8,0.7,0.9,NA
"79-2007",0.8,1,0.8,1,0.7,1,0.8,0.8,0.6,NA,0.4,0.8,0.4,0.3,0.8,0.8,0,0,0,1,0.5,0.7,0.9,NA
"80-2008",0.6,0.8,0.8,1,0.3,1,0.6,1,0.8,NA,0.2,0.8,0,0.7,1,0.8,0.2,0,0,0.7,0.8,1,0.8,NA
"81-2009",0.6,1,0.6,0.8,0.3,0.6,0.8,0.6,1,NA,0.2,1,0,0.7,1,0.8,0,0,0,1,0.8,1,0.8,NA
"82-2010",0.6,0.4,0.6,0.5,0.8,0.4,0.8,0.4,0.8,NA,0,0.8,0,0.3,0.8,0.8,0,0,0.6,0.5,1,1,0.6,NA
