"AwardCategory","AwardWinner","AwardCeremony","FilmID","FilmName","PersonID","PersonName","CompanyID","CompanyName","AwardType","Your.Rating","IMDb.Rating","Num.Votes"
"Best Actor in a Supporting Role","Winner","10-1938","tt0029146","The Life of Emile Zola","nm0771584","Joseph Schildkraut",NA,NA,"Performance",NA,7.2,8926
"Best Actor in a Supporting Role",NA,"10-1938","tt0029162","Lost Horizon","nm0912478","H.B. Warner",NA,NA,"Performance",7,7.6,14346
"Best Actor in a Supporting Role",NA,"10-1938","tt0028597","The Awful Truth","nm0000897","Ralph Bellamy",NA,NA,"Performance",7,7.7,21185
"Best Actor in a Supporting Role",NA,"10-1938","tt0029682","Topper","nm0950019","Roland Young",NA,NA,"Performance",6,7.2,8254
"Best Actor in a Supporting Role",NA,"10-1938","tt0029030","The Hurricane","nm0593775","Thomas Mitchell",NA,NA,"Performance",NA,7.2,2966
"Best Actress in a Leading Role","Winner","10-1938","tt0028944","The Good Earth","nm0707023","Luise Rainer",NA,NA,"Performance",NA,7.5,5357
"Best Actress in a Leading Role",NA,"10-1938","tt0029608","Stella Dallas","nm0001766","Barbara Stanwyck",NA,NA,"Performance",NA,7.4,6217
"Best Actress in a Leading Role",NA,"10-1938","tt0028683","Camille","nm0001256","Greta Garbo",NA,NA,"Performance",NA,7.3,8659
"Best Actress in a Leading Role",NA,"10-1938","tt0028597","The Awful Truth","nm0002050","Irene Dunne",NA,NA,"Performance",7,7.7,21185
"Best Actress in a Leading Role",NA,"10-1938","tt0029606","A Star Is Born","nm0310980","Janet Gaynor",NA,NA,"Performance",7,7.3,10744
"Best Actress in a Supporting Role","Winner","10-1938","tt0029047","In Old Chicago","nm0103567","Alice Brady",NA,NA,"Performance",NA,6.7,2611
"Best Actress in a Supporting Role",NA,"10-1938","tt0029604","Stage Door","nm0498571","Andrea Leeds",NA,NA,"Performance",NA,7.7,8967
"Best Actress in a Supporting Role",NA,"10-1938","tt0029608","Stella Dallas","nm0794297","Anne Shirley",NA,NA,"Performance",NA,7.4,6217
"Best Actress in a Supporting Role",NA,"10-1938","tt0028773","Dead End","nm0872456","Claire Trevor",NA,NA,"Performance",6,7.2,8496
"Best Actress in a Supporting Role",NA,"10-1938","tt0029310","Night Must Fall","nm0926599","May Whitty",NA,NA,"Performance",NA,7.2,2913
"Best Art Direction","Winner","10-1938","tt0029162","Lost Horizon","nm0329684","Stephen Goosson",NA,NA,"Visual Style",7,7.6,14346
"Best Art Direction",NA,"10-1938","tt0028757","A Damsel in Distress","nm0163754","Carroll Clark",NA,NA,"Visual Style",NA,6.8,2359
"Best Art Direction",NA,"10-1938","tt0028739","Conquest","nm0316539","Cedric Gibbons",NA,NA,"Visual Style",NA,6.5,1670
"Best Art Direction",NA,"10-1938","tt0028739","Conquest","nm0395178","William A. Horning",NA,NA,"Visual Style",NA,6.5,1670
"Best Art Direction",NA,"10-1938","tt0028773","Dead End","nm0206554","Richard Day",NA,NA,"Visual Style",6,7.2,8496
"Best Art Direction",NA,"10-1938","tt0028843","Every Day's a Holiday","nm0407311","Wiard Ihnen",NA,NA,"Visual Style",NA,6.2,480
"Best Art Direction",NA,"10-1938","tt0029209","Manhattan Merry-Go-Round","nm0533179","John Victor Mackay",NA,NA,"Visual Style",NA,5.5,177
"Best Art Direction",NA,"10-1938","tt0029593","Souls at Sea","nm0237417","Hans Dreier",NA,NA,"Visual Style",NA,6.8,851
"Best Art Direction",NA,"10-1938","tt0029593","Souls at Sea","nm0027380","Roland Anderson",NA,NA,"Visual Style",NA,6.8,851
"Best Art Direction",NA,"10-1938","tt0029146","The Life of Emile Zola","nm0343819","Anton Grot",NA,NA,"Visual Style",NA,7.2,8926
"Best Art Direction",NA,"10-1938","tt0029442","The Prisoner of Zenda","nm0923907","Lyle R. Wheeler",NA,NA,"Visual Style",NA,7.6,5028
"Best Art Direction",NA,"10-1938","tt0029737","Vogues of 1938","nm0866266","Alexander Toluboff",NA,NA,"Visual Style",NA,5.9,319
"Best Art Direction",NA,"10-1938","tt0029751","Wee Willie Winkie","nm0201419","William S. Darling",NA,NA,"Visual Style",NA,6.9,1925
"Best Art Direction",NA,"10-1938","tt0029751","Wee Willie Winkie","nm0355465","David S. Hall",NA,NA,"Visual Style",NA,6.9,1925
"Best Art Direction",NA,"10-1938","tt0029809","You're a Sweetheart","nm0653163","Jack Otterson",NA,NA,"Visual Style",NA,5.4,142
"Best Assistant Director","Winner","10-1938","tt0029047","In Old Chicago","nm0916271","Robert D. Webb",NA,NA,"Director",NA,6.7,2611
"Best Assistant Director",NA,"10-1938","tt0029162","Lost Horizon","nm0170973","Charles C. Coleman",NA,NA,"Director",7,7.6,14346
"Best Assistant Director",NA,"10-1938","tt0029606","A Star Is Born","nm0820947","Eric Stacey",NA,NA,"Director",7,7.3,10744
"Best Assistant Director",NA,"10-1938","tt0029593","Souls at Sea","nm0907779","Hal Walker",NA,NA,"Director",NA,6.8,851
"Best Assistant Director",NA,"10-1938","tt0029146","The Life of Emile Zola","nm0766951","Russell Saunders",NA,NA,"Director",NA,7.2,8926
"Best Cinematography","Winner","10-1938","tt0028944","The Good Earth","nm0005713","Karl Freund",NA,NA,"Visual Style",NA,7.5,5357
"Best Cinematography",NA,"10-1938","tt0028773","Dead End","nm0005904","Gregg Toland",NA,NA,"Visual Style",6,7.2,8496
"Best Cinematography",NA,"10-1938","tt0029784","Wings Over Honolulu","nm0884252","Joseph A. Valentine",NA,NA,"Visual Style",NA,5.3,104
"Best Dance Direction","Winner","10-1938","tt0028757","A Damsel in Distress","nm0659009","Hermes Pan",NA,NA,"Music",NA,6.8,2359
"Best Dance Direction",NA,"10-1938","tt0028772","A Day at the Races","nm0332346","Dave Gould",NA,NA,"Music",NA,7.5,14485
"Best Dance Direction",NA,"10-1938","tt0028566","Ali Baba Goes to Town","nm0498192","Sammy Lee",NA,NA,"Music",NA,6.3,607
"Best Dance Direction",NA,"10-1938","tt0029467","Ready, Willing and Able","nm0175265","Bobby Connolly",NA,NA,"Music",NA,5.8,318
"Best Dance Direction",NA,"10-1938","tt0029659","Thin Ice","nm0521313","Harry Losee",NA,NA,"Music",NA,6.3,438
"Best Dance Direction",NA,"10-1938","tt0029725","Varsity Show","nm0000923","Busby Berkeley",NA,NA,"Music",NA,6.1,501
"Best Dance Direction",NA,"10-1938","tt0029742","Waikiki Wedding","nm0697895","LeRoy Prinz",NA,NA,"Music",NA,5.9,396
"Best Director","Winner","10-1938","tt0028597","The Awful Truth","nm0564970","Leo McCarey",NA,NA,"Director",7,7.7,21185
"Best Director",NA,"10-1938","tt0029604","Stage Door","nm0478441","Gregory La Cava",NA,NA,"Director",NA,7.7,8967
"Best Director",NA,"10-1938","tt0028944","The Good Earth","nm0291548","Sidney Franklin",NA,NA,"Director",NA,7.5,5357
"Best Director",NA,"10-1938","tt0029606","A Star Is Born","nm0920074","William A. Wellman",NA,NA,"Director",7,7.3,10744
"Best Director",NA,"10-1938","tt0029146","The Life of Emile Zola","nm0226189","William Dieterle",NA,NA,"Director",NA,7.2,8926
"Best Film Editing","Winner","10-1938","tt0029162","Lost Horizon","nm0369879","Gene Havlick",NA,NA,"Effects",7,7.6,14346
"Best Film Editing","Winner","10-1938","tt0029162","Lost Horizon","nm0587332","Gene Milford",NA,NA,"Effects",7,7.6,14346
"Best Film Editing",NA,"10-1938","tt0028691","Captains Courageous","nm0894762","Elmo Veron",NA,NA,"Effects",NA,7.9,10788
"Best Film Editing",NA,"10-1938","tt0029347","One Hundred Men and a Girl","nm0123521","Bernard W. Burton",NA,NA,"Effects",NA,6.7,1206
"Best Film Editing",NA,"10-1938","tt0028597","The Awful Truth","nm0163617","Al Clark",NA,NA,"Effects",7,7.7,21185
"Best Film Editing",NA,"10-1938","tt0028944","The Good Earth","nm0942007","Basil Wrangell",NA,NA,"Effects",NA,7.5,5357
"Best Music, Original Song","Winner","10-1938","tt0029742","Waikiki Wedding","nm0654374","Harry Owens",NA,NA,"Music",NA,5.9,396
"Best Music, Original Song",NA,"10-1938","tt0028587","Artist and Models","nm0006130","Friedrich Hollaender",NA,NA,"Music",NA,6,370
"Best Music, Original Song",NA,"10-1938","tt0028587","Artist and Models","nm0732209","Leo Robin",NA,NA,"Music",NA,6,370
"Best Music, Original Song",NA,"10-1938","tt0029267","Mr. Dodd Takes the Air","nm0912851","Harry Warren",NA,NA,"Music",NA,5.4,239
"Best Music, Original Song",NA,"10-1938","tt0029267","Mr. Dodd Takes the Air","nm0006048","Al Dubin",NA,NA,"Music",NA,5.4,239
